pollen_concentration,timestamp
4.4,2026-05-01 11:37:18
5.3,2026-05-02 11:12:33
5.7,2026-05-03 11:11:05
6.2,2026-05-04 12:08:55
6.1,2026-05-05 11:46:06
6.1,2026-05-06 12:14:24
5.6,2026-05-07 12:15:45
4.0,2026-05-08 11:51:11
4.9,2026-05-09 11:25:05
4.5,2026-05-10 11:26:59
4.9,2026-05-11 13:22:27
4.9,2026-05-12 12:23:14
4.9,2026-05-13 12:27:00
4.0,2026-05-14 12:10:21
4.0,2026-05-15 12:16:05
3.5,2026-05-16 11:30:37
4.2,2026-05-17 11:37:38
4.2,2026-05-18 14:04:53
4.6,2026-05-19 13:39:04
3.2,2026-05-20 12:41:14
4.0,2026-05-21 13:42:22
5.4,2026-05-22 12:37:59
5.9,2026-05-23 11:40:43
5.4,2026-05-24 11:48:14
6.0,2026-05-25 13:45:04
6.1,2026-05-26 13:26:07
6.2,2026-05-27 13:56:42
6.3,2026-05-28 14:08:10
6.2,2026-05-29 13:41:03
6.1,2026-05-30 11:51:04
6.2,2026-05-31 11:55:25
